logical_id,naptan_tube,station_name,name_key,fare_zone,line_ids,lat,lon
940GZZLUEPY,940GZZLUEPY,East Putney Underground Station,east putney,2+3,district,51.459205,-0.211
940GZZLUEAE,940GZZLUEAE,Eastcote Underground Station,eastcote,5,metropolitan;piccadilly,51.576506,-0.397373
940GZZLUERB,940GZZLUERB,Edgware Road (Bakerloo) Underground Station,edgware road bakerloo,1,bakerloo,51.520299,-0.17015
940GZZLUERC,940GZZLUERC,Edgware Road (Circle Line) Underground Station,edgware road circle line,1,circle;district;hammersmith-city,51.519858,-0.167832
940GZZLUEGW,940GZZLUEGW,Edgware Underground Station,edgware,5,northern,51.613653,-0.274928
HUBEPH,940GZZLUEAC,Elephant & Castle Underground Station,elephant & castle,1+2,bakerloo;northern,51.494536,-0.100606
940GZZLUEPK,940GZZLUEPK,Elm Park Underground Station,elm park,6,district,51.549775,0.19864
940GZZLUEMB,940GZZLUEMB,Embankment Underground Station,embankment,1,bakerloo;circle;district;northern,51.507058,-0.122666
940GZZLUEPG,940GZZLUEPG,Epping Underground Station,epping,6,central,51.69368,0.113767
940GZZLUESQ,940GZZLUESQ,Euston Square Underground Station,euston square,1,circle;hammersmith-city;metropolitan,51.525604,-0.135829
HUBEUS,940GZZLUEUS,Euston Underground Station,euston,1,northern;victoria,51.528055,-0.132182
940GZZLUFLP,940GZZLUFLP,Fairlop Underground Station,fairlop,4,central,51.595618,0.091004
HUBZFD,940GZZLUFCN,Farringdon Underground Station,farringdon,1,circle;hammersmith-city;metropolitan,51.520252,-0.104913
940GZZLUFYC,940GZZLUFYC,Finchley Central Underground Station,finchley central,4,northern,51.600921,-0.192527
940GZZLUFYR,940GZZLUFYR,Finchley Road Underground Station,finchley road,2,jubilee;metropolitan,51.546825,-0.179845
HUBFPK,940GZZLUFPK,Finsbury Park Underground Station,finsbury park,2,piccadilly;victoria,51.564158,-0.106825
940GZZLUFBY,940GZZLUFBY,Fulham Broadway Underground Station,fulham broadway,2,district,51.480081,-0.195422
940GZZLUGTH,940GZZLUGTH,Gants Hill Underground Station,gants hill,4,central,51.576544,0.066185
940GZZLUGTR,940GZZLUGTR,Gloucester Road Underground Station,gloucester road,1,circle;district;piccadilly,51.494316,-0.182658
940GZZLUGGN,940GZZLUGGN,Golders Green Underground Station,golders green,3,northern,51.572259,-0.194039
